Binomial,iucn
Carettochelys insculpta,VU
Acanthochelys pallidipectoris,EN
Acanthochelys spixii,LR/nt
Chelodina canni,NA
Chelodina expansa,NA
Chelodina longicollis,NA
Chelodina mccordi,CR
Chelodina novaeguineae,LR/lc
Chelodina oblonga,LR/nt
Chelodina parkeri,VU
Chelodina reimanni,LR/nt
Chelus fimbriatus,NA
Elseya albagula,NA
Elseya dentata,NA
Elseya irwini,NA
Elseya lavarackorum,NA
Elseya novaeguineae,LR/lc
Emydura macquarii,NA
Emydura subglobosa,LR/lc
Emydura tanybaraga,NA
Flaviemys purvisi,NA
Hydromedusa maximiliani,VU
Hydromedusa tectifera,NA
Mesoclemmys dahli,CR
Mesoclemmys gibba,NA
Mesoclemmys nasuta,NA
Mesoclemmys tuberculata,NA
Mesoclemmys vanderhaegei,LR/nt
Mesoclemmys zuliae,VU
Myuchelys bellii,NA
Myuchelys georgesi,NA
Myuchelys latisternum,NA
Phrynops geoffroanus,NA
Phrynops hilarii,NA
Phrynops tuberosus,NA
Phrynops williamsi,NA
Platemys platycephala,NA
Pseudemydura umbrina,CR
Rheodytes leukops,VU
Rhinemys rufipes,LR/nt
Caretta caretta,VU
Chelonia mydas,EN
Eretmochelys imbricata,CR
Lepidochelys kempii,CR
Lepidochelys olivacea,VU
Natator depressus,DD
Chelydra acutirostris,NA
Chelydra rossignonii,VU
Chelydra serpentina,LC
Macrochelys temminckii,VU
Dermatemys mawii,CR
Dermochelys coriacea,VU
Actinemys marmorata,VU
Chrysemys dorsalis,NA
Chrysemys picta,LC
Clemmys guttata,EN
Deirochelys reticularia,NA
Emydoidea blandingii,EN
Emys orbicularis,LR/nt
Glyptemys insculpta,EN
Glyptemys muhlenbergii,CR
Graptemys barbouri,VU
Graptemys caglei,EN
Graptemys ernsti,NT
Graptemys flavimaculata,VU
Graptemys geographica,LC
Graptemys gibbonsi,EN
Graptemys nigrinoda,LC
Graptemys oculifera,VU
Graptemys ouachitensis,LC
Graptemys pearlensis,EN
Graptemys pseudogeographica,LC
Graptemys pulchra,NT
Graptemys versa,LC
Malaclemys terrapin,LR/nt
Pseudemys alabamensis,EN
Pseudemys concinna,LC
Pseudemys gorzugi,NT
Pseudemys nelsoni,LC
Pseudemys peninsularis,LC
Pseudemys rubriventris,NT
Pseudemys texana,LC
Terrapene carolina,VU
Terrapene coahuila,EN
Terrapene mexicana,NA
Terrapene nelsoni,DD
Terrapene ornata,NT
Trachemys callirostris,NA
Trachemys decorata,VU
Trachemys decussata,NA
Trachemys dorbigni,NA
Trachemys emolli,NA
Trachemys gaigeae,VU
Trachemys grayi,NA
Trachemys nebulosa,NA
Trachemys ornata,VU
Trachemys scripta,LC
Trachemys stejnegeri,LR/nt
Trachemys taylori,EN
Trachemys terrapen,VU
Trachemys venusta,NA
Trachemys yaquia,VU
Batagur baska,CR
Batagur borneoensis,CR
Batagur dhongoka,EN
Batagur kachuga,CR
Batagur trivittata,EN
Cuora amboinensis,VU
Cuora aurocapitata,CR
Cuora bourreti,CR
Cuora evelynae,NA
Cuora flavomarginata,EN
Cuora galbinifrons,CR
Cuora mccordi,CR
Cuora mouhotii,EN
Cuora picturata,CR
Cuora trifasciata,CR
Cuora yunnanensis,CR
Cuora zhoui,CR
Cyclemys dentata,LR/nt
Cyclemys tcheponensis,NA
Geoclemys hamiltonii,VU
Geoemyda japonica,EN
Geoemyda spengleri,EN
Hardella thurjii,VU
Heosemys annandalii,EN
Heosemys grandis,VU
Heosemys spinosa,EN
Leucocephalon yuwonoi,CR
Malayemys subtrijuga,VU
Mauremys annamensis,CR
Mauremys caspica,NA
Mauremys japonica,LR/nt
Mauremys leprosa,NA
Mauremys mutica,EN
Mauremys nigricans,EN
Mauremys reevesii,EN
Mauremys rivulata,NA
Mauremys sinensis,EN
Melanochelys tricarinata,VU
Melanochelys trijuga,LR/nt
Notochelys platynota,VU
Orlitia borneensis,EN
Pangshura smithii,LR/nt
Pangshura sylhetensis,EN
Pangshura tecta,LR/lc
Pangshura tentoria,LR/lc
Rhinoclemmys annulata,LR/nt
Rhinoclemmys areolata,NT
Rhinoclemmys diademata,NA
Rhinoclemmys funerea,LR/nt
Rhinoclemmys melanosterna,NA
Rhinoclemmys nasuta,LR/nt
Rhinoclemmys pulcherrima,NA
Rhinoclemmys punctularia,NA
Rhinoclemmys rubida,NT
Sacalia bealei,EN
Sacalia quadriocellata,EN
Siebenrockiella crassicollis,VU
Vijayachelys silvatica,EN
Claudius angustatus,LR/nt
Cryptochelys acuta,NA
Cryptochelys angustipons,NA
Cryptochelys creaseri,NA
Cryptochelys dunni,NA
Cryptochelys herrerai,NA
Cryptochelys leucostomum,NA
Kinosternon alamosae,DD
Kinosternon arizonense,LC
Kinosternon baurii,LC
Kinosternon chimalhuaca,LC
Kinosternon durangoense,DD
Kinosternon flavescens,LC
Kinosternon hirtipes,LC
Kinosternon integrum,LC
Kinosternon scorpioides,NA
Kinosternon sonoriense,NT
Kinosternon subrubrum,LC
Staurotypus salvinii,LR/nt
Staurotypus triporcatus,LR/nt
Sternotherus carinatus,LC
Sternotherus depressus,CR
Sternotherus minor,LC
Sternotherus odoratus,LC
Pelomedusa subrufa,NA
Pelusios adansonii,NA
Pelusios bechuanicus,NA
Pelusios castaneus,NA
Pelusios castanoides,LR/lc
Pelusios chapini,NA
Pelusios nanus,NA
Pelusios niger,NA
Pelusios rhodesianus,LR/lc
Pelusios sinuatus,NA
Pelusios subniger,LR/lc
Pelusios upembae,DD
Pelusios williamsi,NA
Platysternon megacephalum,EN
Erymnochelys madagascariensis,CR
Peltocephalus dumerilianus,VU
Podocnemis erythrocephala,VU
Podocnemis expansa,LR/cd
Podocnemis lewyana,CR
Podocnemis sextuberculata,VU
Podocnemis unifilis,VU
Podocnemis vogli,NA
Aldabrachelys gigantea,NA
Astrochelys radiata,CR
Astrochelys yniphora,CR
Chelonoidis abingdonii,EX
Chelonoidis becki,VU
Chelonoidis carbonarius,NA
Chelonoidis chathamensis,EN
Chelonoidis chilensis,VU
Chelonoidis darwini,CR
Chelonoidis denticulatus,NA
Chelonoidis duncanensis,VU
Chelonoidis hoodensis,CR
Chelonoidis niger,EX
Chelonoidis porteri,CR
Chelonoidis vicina,EN
Chersina angulata,LC
Geochelone elegans,VU
Geochelone platynota,CR
Geochelone sulcata,NA
Gopherus agassizii,VU
Gopherus berlandieri,LR/lc
Gopherus flavomarginatus,VU
Gopherus polyphemus,VU
Homopus areolatus,LC
Homopus boulengeri,NT
Homopus femoralis,LC
Homopus signatus,VU
Indotestudo elongata,EN
Indotestudo forstenii,EN
Indotestudo travancorica,VU
Kinixys belliana,NA
Kinixys erosa,DD
Kinixys homeana,VU
Kinixys lobatsiana,LC
Kinixys natalensis,LR/nt
Kinixys nogueyi,NA
Kinixys spekii,NA
Kinixys zombensis,NA
Malacochersus tornieri,VU
Manouria emys,EN
Manouria impressa,VU
Psammobates geometricus,CR
Psammobates oculiferus,NA
Psammobates tentorius,LC
Pyxis arachnoides,CR
Pyxis planicauda,CR
Stigmochelys pardalis,LC
Testudo graeca,VU
Testudo hermanni,NT
Testudo horsfieldii,VU
Testudo kleinmanni,CR
Testudo marginata,LC
Amyda cartilaginea,VU
Apalone ferox,LC
Apalone mutica,LC
Apalone spinifera,LC
Chitra indica,EN
Cyclanorbis senegalensis,VU
Cycloderma frenatum,EN
Lissemys punctata,LR/lc
Lissemys scutata,DD
Nilssonia gangetica,VU
Nilssonia nigricans,EW
Palea steindachneri,EN
Pelochelys bibroni,VU
Pelodiscus sinensis,VU
Trionyx triunguis,VU
